1980-12-12,0.09859661757946014,0.09902527473553087,0.09859661757946014,0.09859661757946014,469033600,AAPL
1980-12-15,0.0934528112411499,0.0938814685782646,0.0934528112411499,0.0938814685782646,175884800,AAPL
1980-12-16,0.08659356832504272,0.08702221991706076,0.08659356832504272,0.08702221991706076,105728000,AAPL
1980-12-17,0.08873681724071503,0.08916547445726596,0.08873681724071503,0.08873681724071503,86441600,AAPL
1980-12-18,0.09130951017141342,0.09173816163687441,0.09130951017141342,0.09130951017141342,73449600,AAPL
1980-12-19,0.09688199311494827,0.09731065023877628,0.09688199311494827,0.09688199311494827,48630400,AAPL
1980-12-22,0.10159724205732346,0.1020266663162583,0.10159724205732346,0.10159724205732346,37363200,AAPL
1980-12-23,0.10588450729846954,0.10631316444200069,0.10588450729846956,0.10588450729846956,46950400,AAPL
1980-12-24,0.11145700514316559,0.11188566224562167,0.11145700514316559,0.11145700514316559,48003200,AAPL
1980-12-26,0.12174554914236069,0.12217420650984108,0.12174554914236069,0.12174554914236069,55574400,AAPL
1980-12-29,0.12346013635396957,0.12388879361447232,0.12346013635396957,0.12346013635396957,93161600,AAPL
1980-12-30,0.12045955657958984,0.12088820238648877,0.12045955657958986,0.12088820238648877,68880000,AAPL
1980-12-31,0.1170303076505661,0.1174589648539879,0.1170303076505661,0.1174589648539879,35750400,AAPL
1981-01-02,0.11831629276275635,0.11917360735037899,0.11831629276275635,0.11831629276275635,21660800,AAPL
1981-01-05,0.11574432998895645,0.11617297568053778,0.11574432998895645,0.11617297568053778,35728000,AAPL
1981-01-06,0.11059973388910294,0.11102839115802592,0.11059973388910294,0.11102839115802592,45158400,AAPL
1981-01-07,0.10588450729846954,0.10631316444200069,0.10588450729846956,0.10631316444200069,55686400,AAPL
1981-01-08,0.10374126583337784,0.10416991161812392,0.10374126583337784,0.10416991161812392,39827200,AAPL
1981-01-09,0.10931377112865448,0.10974242838816341,0.10931377112865448,0.10931377112865448,21504000,AAPL
1981-01-12,0.10845644772052765,0.10931375063175802,0.10845644772052765,0.10931375063175802,23699200,AAPL
1981-01-13,0.10459855943918228,0.1050272166324001,0.10459855943918228,0.1050272166324001,23049600,AAPL
1981-01-14,0.1050272136926651,0.10545587087388471,0.1050272136926651,0.1050272136926651,14291200,AAPL
1981-01-15,0.10717050731182098,0.10802781038049342,0.10717050731182098,0.10717050731182098,14067200,AAPL
1981-01-16,0.10631317645311356,0.10674183364507378,0.10631317645311357,0.10674183364507378,13395200,AAPL
1981-01-19,0.11274299025535583,0.11317164745382136,0.11274299025535583,0.11274299025535583,41574400,AAPL
1981-01-20,0.10931377112865448,0.10974242838816341,0.10931377112865448,0.10974242838816341,30083200,AAPL
1981-01-21,0.11145700514316559,0.11231430790104323,0.11145700514316559,0.11145700514316559,15904000,AAPL
1981-01-22,0.11274299025535583,0.11360030465228686,0.11274299025535583,0.11274299025535583,35548800,AAPL
1981-01-23,0.11231432855129242,0.11317164291383146,0.11231432855129242,0.11274298573256193,11222400,AAPL
1981-01-26,0.11059973388910294,0.11102839115802592,0.11059973388910294,0.11102839115802592,24640000,AAPL
1981-01-27,0.10974239557981491,0.11059969839549665,0.10974239557981491,0.11059969839549665,23699200,AAPL
1981-01-28,0.10631317645311356,0.10674183364507378,0.10631317645311357,0.10674183364507378,28156800,AAPL
1981-01-29,0.1024552434682846,0.10288390048807426,0.1024552434682846,0.10288390048807426,43904000,AAPL
1981-01-30,0.09688199311494827,0.09773930736260429,0.09688199311494827,0.09773930736260429,46188800,AAPL
1981-02-02,0.09130951017141342,0.09173816163687441,0.09130951017141342,0.09173816163687441,23766400,AAPL
1981-02-03,0.09473876655101776,0.09516741811494159,0.09473876655101776,0.09473876655101776,19152000,AAPL
1981-02-04,0.09816795587539673,0.09859660151458996,0.09816795587539673,0.09816795587539673,27865600,AAPL
1981-02-05,0.09816795587539673,0.09902525860081729,0.09816795587539673,0.09816795587539673,7929600,AAPL
1981-02-06,0.09859661757946014,0.09902527473553087,0.09859661757946014,0.09859661757946014,13865600,AAPL
1981-02-09,0.0934528112411499,0.09431012019185887,0.0934528112411499,0.09431012019185887,16755200,AAPL
1981-02-10,0.0934528112411499,0.0938814685782646,0.0934528112411499,0.0934528112411499,18345600,AAPL
1981-02-11,0.09045222401618958,0.09088087558827397,0.09045222401618958,0.09088087558827397,13843200,AAPL
1981-02-12,0.08959410339593887,0.09002352745590525,0.08959410339593887,0.09002352745590525,14560000,AAPL
1981-02-13,0.08745086193084717,0.08830817068839537,0.08745086193084717,0.08830817068839537,11155200,AAPL
1981-02-17,0.08959410339593887,0.09002352745590525,0.08959410339593887,0.08959410339593887,12275200,AAPL
1981-02-18,0.0934528112411499,0.09431012019185887,0.0934528112411499,0.0934528112411499,19241600,AAPL
1981-02-19,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08830816595128863,22310400,AAPL
1981-02-20,0.08316431194543839,0.08359296915402716,0.08316431194543839,0.08359296915402716,24371200,AAPL
1981-02-23,0.08445024490356445,0.08487890197398544,0.08445024490356445,0.08445024490356445,14112000,AAPL
1981-02-24,0.0814497172832489,0.08230702621610388,0.0814497172832489,0.08230702621610388,16979200,AAPL
1981-02-25,0.08659356832504272,0.08702221991706076,0.08659356832504272,0.08659356832504272,19488000,AAPL
1981-02-26,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08787950873374939,10841600,AAPL
1981-02-27,0.09088082611560822,0.09173813451660509,0.09088082611560822,0.09088082611560822,14761600,AAPL
